Age,Education,Relationship_Status,Income,Children,Wine ($),Fruit ($),Meat ($),Fish ($),Sweets ($),Gold_Products ($),Discount_Purchases,Web_Purchases,Catalog_Purchases,Store_Purchases,Days_Enrolled,Avg_Purch_Freq,Avg_Spend ($),Accept_One,Accept_Rate,Cust_Accept (%)
63,PhD,Widow,67680.0,1,546,0,48,0,6,6,1,7,3,8,506.0,26.63157894736842,31.894736842105264,0,(0/6),0.0
66,Graduation,In-Relationship,70666.0,0,398,40,367,119,122,30,1,7,4,4,328.0,20.5,67.25,0,(0/6),0.0
43,Graduation,Married,25721.0,1,1,3,6,3,6,15,1,1,1,2,527.0,105.4,6.8,1,(1/6),16.666666666666664
47,Graduation,In-Relationship,32474.0,2,10,0,1,0,0,0,1,1,0,2,172.0,43.0,2.75,0,(0/6),0.0
35,2n Cycle,Single,88194.0,1,688,14,309,201,24,38,1,11,10,10,225.0,7.03125,39.8125,1,(3/6),50.0
56,Graduation,In-Relationship,69096.0,1,247,49,159,7,82,109,1,5,2,10,398.0,22.11111111111111,36.27777777777778,0,(0/6),0.0
44,Graduation,In-Relationship,74854.0,3,856,59,487,58,29,73,7,2,5,5,570.0,30.0,82.21052631578948,0,(0/6),0.0
60,Master,Married,66991.0,0,496,36,460,189,60,12,3,4,8,6,779.0,37.095238095238095,59.666666666666664,0,(0/6),0.0
41,2n Cycle,Married,47622.32608695652,1,25,3,43,17,4,17,3,3,0,3,776.0,86.22222222222223,12.11111111111111,0,(0/6),0.0
55,Graduation,Married,65031.0,1,258,107,291,84,37,86,4,10,3,13,592.0,19.733333333333334,28.766666666666666,0,(0/6),0.0
39,PhD,Married,60631.0,2,565,6,65,0,6,19,5,9,2,8,573.0,23.875,27.541666666666668,1,(1/6),16.666666666666664
62,Graduation,Married,28332.0,0,14,10,13,4,15,9,1,2,1,4,183.0,22.875,8.125,0,(0/6),0.0
37,Graduation,Divorced,40246.0,1,2,1,6,2,1,1,1,1,0,2,680.0,170.0,3.25,0,(0/6),0.0
42,Master,Married,75251.0,0,721,111,925,97,18,18,1,7,6,5,794.0,41.78947368421053,99.47368421052632,1,(1/6),16.666666666666664
38,Graduation,Single,75825.0,0,1032,105,779,137,105,51,0,5,8,9,748.0,34.0,100.4090909090909,1,(2/6),33.33333333333333
38,2n Cycle,In-Relationship,26326.0,0,1,0,5,0,3,9,1,0,0,3,421.0,105.25,4.5,0,(0/6),0.0
49,Graduation,In-Relationship,56046.0,0,577,0,64,0,0,51,2,10,1,8,666.0,31.714285714285715,32.95238095238095,1,(2/6),33.33333333333333
29,Graduation,Single,29760.0,1,64,4,68,7,5,17,4,3,1,4,792.0,66.0,13.75,0,(0/6),0.0
45,Graduation,Married,26304.0,1,4,1,5,2,0,4,1,1,0,2,494.0,123.5,4.0,0,(0/6),0.0
41,2n Cycle,Married,23559.0,1,25,5,19,7,0,23,3,3,0,3,484.0,53.77777777777778,8.777777777777779,0,(0/6),0.0
51,Master,In-Relationship,38620.0,0,112,17,44,34,22,89,1,2,5,3,537.0,48.81818181818182,28.90909090909091,0,(0/6),0.0
27,Graduation,Divorced,81361.0,0,163,23,424,27,65,76,1,3,10,13,247.0,9.148148148148149,28.814814814814813,0,(0/6),0.0
54,Graduation,Married,29440.0,2,17,8,14,10,4,3,2,1,0,4,445.0,63.57142857142857,8.0,0,(0/6),0.0
44,Master,Married,36138.0,2,130,0,16,0,0,5,5,3,1,4,471.0,36.23076923076923,11.615384615384615,1,(1/6),16.666666666666664
57,Graduation,Single,50388.0,1,292,6,37,0,3,34,4,6,1,6,155.0,9.117647058823529,21.88235294117647,1,(3/6),50.0
41,Graduation,Married,79593.0,0,350,60,568,110,133,145,1,5,6,7,171.0,9.0,71.89473684210526,1,(1/6),16.666666666666664
47,Graduation,In-Relationship,54178.0,1,135,9,39,4,0,7,1,2,2,5,282.0,28.2,19.4,0,(0/6),0.0
57,PhD,Married,54174.669173553724,3,230,42,192,49,37,53,12,7,2,8,710.0,24.482758620689655,20.79310344827586,0,(0/6),0.0
57,Graduation,Single,55400.048034934494,2,7,0,8,2,0,1,1,1,0,2,156.0,39.0,4.5,0,(0/6),0.0
41,Master,In-Relationship,50026.0593220339,0,445,37,359,98,28,18,1,2,4,8,341.0,22.733333333333334,65.66666666666667,0,(0/6),0.0
42,Master,Single,42394.0,1,15,2,10,0,1,4,1,1,0,3,221.0,44.2,6.4,0,(0/6),0.0
44,PhD,Married,23626.0,1,27,2,14,0,0,0,3,3,1,3,159.0,15.9,4.3,0,(0/6),0.0
31,Graduation,Married,30096.0,1,5,3,11,12,5,9,1,2,0,3,161.0,26.833333333333332,7.5,0,(0/6),0.0
54,Graduation,Widow,47916.0,1,505,0,26,0,0,75,5,7,4,6,707.0,32.13636363636363,27.545454545454547,1,(1/6),16.666666666666664
42,Graduation,Divorced,51813.0,2,51,2,7,0,1,2,2,2,0,3,567.0,81.0,9.0,0,(0/6),0.0
63,2n Cycle,Married,78497.0,0,207,26,447,75,0,223,1,5,7,12,333.0,13.32,39.12,1,(1/6),16.666666666666664
31,PhD,Married,50150.0,0,135,46,92,65,61,11,2,5,2,7,497.0,31.0625,25.625,0,(0/6),0.0
54,2n Cycle,Single,47823.0,1,53,1,5,2,1,10,2,2,0,3,464.0,66.28571428571429,10.285714285714286,0,(0/6),0.0
55,PhD,Single,34554.0,1,41,1,6,2,0,5,2,2,0,3,214.0,30.571428571428573,7.857142857142857,0,(0/6),0.0
35,Graduation,In-Relationship,85693.0,1,386,172,183,185,132,111,2,9,5,11,558.0,20.666666666666668,43.2962962962963,0,(0/6),0.0
69,PhD,Married,65846.0,0,562,81,276,80,40,81,1,6,3,6,531.0,33.1875,70.0,0,(0/6),0.0
55,Graduation,Married,87195.0,0,217,76,690,50,26,38,1,3,11,5,175.0,8.75,54.85,1,(1/6),16.666666666666664
35,Basic,In-Relationship,24594.0,1,1,3,6,10,0,9,1,1,0,3,324.0,64.8,5.8,0,(0/6),0.0
50,Graduation,Married,49096.0,2,144,1,32,2,1,7,4,4,1,4,401.0,30.846153846153847,14.384615384615385,0,(0/6),0.0
45,Graduation,Married,52413.0,2,295,106,271,75,98,65,4,6,4,12,635.0,24.423076923076923,35.0,0,(0/6),0.0
36,Graduation,Single,38557.0,1,76,3,31,4,4,27,2,3,1,3,680.0,75.55555555555556,16.11111111111111,0,(0/6),0.0
54,Master,Married,89058.0,0,454,194,106,31,22,43,1,5,4,4,692.0,49.42857142857143,60.714285714285715,0,(0/6),0.0
35,Graduation,In-Relationship,77298.0,1,425,115,292,23,35,79,1,6,6,11,362.0,15.083333333333334,40.375,0,(0/6),0.0
23,PhD,Single,68126.0,0,1332,17,311,23,51,86,1,7,4,5,719.0,42.294117647058826,107.05882352941177,1,(2/6),33.33333333333333
51,Master,In-Relationship,57288.0,1,527,0,21,0,0,60,3,8,1,8,127.0,6.35,30.4,1,(1/6),16.666666666666664
23,Graduation,Single,86037.0,0,490,44,125,29,20,22,1,6,7,11,666.0,26.64,29.2,1,(3/6),50.0
34,PhD,Married,43974.0,1,378,0,101,0,0,72,5,6,4,6,687.0,32.714285714285715,26.238095238095237,0,(0/6),0.0
52,Graduation,Single,50785.0,2,64,1,21,0,1,27,2,2,1,3,415.0,51.875,14.25,0,(0/6),0.0
44,Graduation,Married,90765.0,0,547,99,812,151,82,33,0,4,6,5,279.0,18.6,114.93333333333334,1,(2/6),33.33333333333333
36,2n Cycle,Married,36550.0,1,47,90,94,123,103,120,5,9,1,5,618.0,30.9,28.85,0,(0/6),0.0
47,2n Cycle,In-Relationship,30753.0,2,12,5,25,0,9,30,2,1,1,3,476.0,68.0,11.571428571428571,0,(0/6),0.0
45,Graduation,In-Relationship,21918.0,1,1,6,7,11,5,3,2,2,0,3,350.0,50.0,4.714285714285714,0,(0/6),0.0
61,Master,In-Relationship,56129.0,1,320,48,133,39,72,48,4,6,2,10,497.0,22.59090909090909,30.0,0,(0/6),0.0
47,Master,Single,32557.0,1,34,3,29,0,4,10,3,2,1,3,248.0,27.555555555555557,8.88888888888889,1,(1/6),16.666666666666664
29,Master,Married,19510.0,2,9,0,7,3,4,7,2,1,0,3,421.0,70.16666666666667,5.0,0,(0/6),0.0
38,Graduation,Divorced,30992.0,1,17,0,14,7,3,2,1,1,0,3,556.0,111.2,8.6,0,(0/6),0.0
31,Graduation,Single,101970.0,0,722,27,102,44,72,168,0,6,8,13,597.0,22.11111111111111,42.03703703703704,1,(4/6),66.66666666666666
49,2n Cycle,In-Relationship,71488.0,0,162,33,124,40,28,172,2,3,4,7,619.0,38.6875,34.9375,0,(0/6),0.0
30,Graduation,Single,79607.0,0,450,133,951,173,0,216,1,3,6,6,557.0,34.8125,120.1875,1,(1/6),16.666666666666664
61,Master,Married,54348.0,2,70,0,16,0,0,4,2,2,0,4,144.0,18.0,11.25,0,(0/6),0.0
53,PhD,Married,54667.16616604057,1,352,0,27,10,0,15,3,6,1,7,476.0,28.0,23.764705882352942,0,(0/6),0.0
58,PhD,In-Relationship,77376.0,2,492,19,110,16,12,12,4,6,3,10,173.0,7.521739130434782,28.73913043478261,0,(0/6),0.0
62,Graduation,Married,62998.0,1,120,58,73,65,89,58,5,5,4,5,395.0,20.789473684210527,24.36842105263158,0,(0/6),0.0
56,Master,Single,61331.0,2,534,5,47,0,5,41,5,11,1,6,599.0,26.043478260869566,27.47826086956522,0,(0/6),0.0
45,Graduation,Married,73448.0,0,236,106,189,23,41,130,1,7,2,9,262.0,13.789473684210526,38.1578947368421,0,(0/6),0.0
51,Graduation,Married,55641.96964207395,1,231,65,196,38,71,124,1,6,5,7,445.0,23.42105263157895,38.1578947368421,0,(0/6),0.0
50,PhD,Married,41551.0,2,220,0,33,3,0,23,5,5,1,5,442.0,27.625,17.4375,0,(0/6),0.0
47,PhD,In-Relationship,62981.0,0,796,14,590,38,44,0,1,4,5,13,592.0,25.73913043478261,64.43478260869566,1,(1/6),16.666666666666664
38,Basic,Divorced,9548.0,1,0,1,3,10,6,9,2,1,0,3,813.0,135.5,4.833333333333333,0,(0/6),0.0
55,PhD,Married,33762.0,3,53,1,34,2,0,16,3,2,2,2,480.0,53.333333333333336,11.777777777777779,0,(0/6),0.0
41,PhD,Single,35860.0,2,15,0,8,4,2,20,2,1,1,2,164.0,27.333333333333332,8.166666666666666,1,(2/6),33.33333333333333
49,PhD,Divorced,36921.0,2,17,1,12,3,1,4,2,2,0,3,459.0,65.57142857142857,5.428571428571429,0,(0/6),0.0
22,Master,Single,92859.0,0,962,61,921,52,61,20,1,5,4,12,741.0,33.68181818181818,94.4090909090909,0,(0/6),0.0
38,Master,In-Relationship,65104.0,1,738,0,232,13,20,50,2,3,5,7,350.0,20.58823529411765,61.94117647058823,1,(1/6),16.666666666666664
52,Graduation,Married,86111.0,0,399,28,756,36,40,126,1,5,7,10,559.0,24.304347826086957,60.21739130434783,0,(0/6),0.0
40,PhD,Single,68352.0,1,614,16,132,43,33,33,3,8,5,9,428.0,17.12,34.84,0,(0/6),0.0
26,Graduation,In-Relationship,41883.0,1,32,34,41,73,16,116,3,4,2,3,590.0,49.166666666666664,26.0,0,(0/6),0.0
38,Graduation,Married,59809.0,2,598,16,141,32,41,49,3,3,3,6,742.0,49.46666666666667,58.46666666666667,0,(0/6),0.0
39,Graduation,Married,23957.0,1,2,1,18,20,11,16,1,2,0,3,732.0,122.0,11.333333333333334,1,(1/6),16.666666666666664
33,Graduation,In-Relationship,38547.0,1,6,1,10,0,1,4,1,1,0,2,428.0,107.0,5.5,0,(0/6),0.0
41,2n Cycle,Married,35688.0,3,73,3,90,12,1,32,7,4,1,4,799.0,49.9375,13.1875,0,(0/6),0.0
48,Master,Married,49605.0,0,42,16,29,12,20,8,1,2,1,4,131.0,16.375,15.875,0,(0/6),0.0
61,Master,Married,59354.0,2,295,21,78,39,13,13,1,4,4,7,189.0,11.8125,28.6875,0,(0/6),0.0
45,Graduation,Married,65747.0,1,346,17,48,23,13,13,4,8,1,6,237.0,12.473684210526315,24.210526315789473,1,(1/6),16.666666666666664
42,2n Cycle,In-Relationship,46344.0,1,233,20,57,8,20,91,4,7,1,5,685.0,40.294117647058826,25.235294117647058,0,(0/6),0.0
26,Graduation,Single,34176.0,1,5,7,24,19,14,20,4,3,0,4,171.0,15.545454545454545,8.090909090909092,0,(0/6),0.0
62,PhD,In-Relationship,61010.0,1,888,0,57,0,0,76,2,8,5,11,751.0,28.884615384615383,39.26923076923077,0,(0/6),0.0
65,Graduation,In-Relationship,69372.0,0,997,26,269,34,13,42,1,10,4,6,618.0,29.428571428571427,65.76190476190476,1,(3/6),50.0
56,Graduation,Single,49967.0,1,212,6,69,4,12,3,3,6,1,5,479.0,31.933333333333334,20.4,0,(0/6),0.0
36,Graduation,Single,60199.0,3,8,1,7,2,0,0,1,0,0,3,413.0,103.25,4.5,0,(0/6),0.0
37,Graduation,In-Relationship,55375.0,1,42,11,57,10,28,14,1,1,1,6,378.0,42.0,18.0,0,(0/6),0.0
59,Graduation,Single,80317.0,0,536,11,387,149,91,57,1,3,4,10,436.0,24.22222222222222,68.38888888888889,0,(0/6),0.0
56,Master,Single,30523.0,3,5,0,3,0,0,5,1,1,0,2,486.0,121.5,3.25,0,(0/6),0.0
69,PhD,Married,70356.0,0,1349,16,249,43,16,33,2,10,6,9,724.0,26.814814814814813,63.18518518518518,0,(0/6),0.0
30,Graduation,Married,23228.0,1,53,3,49,7,4,5,4,3,0,4,298.0,27.09090909090909,11.0,0,(0/6),0.0
39,PhD,Divorced,74165.0,0,1001,12,240,16,12,12,1,5,4,10,547.0,27.35,64.65,0,(0/6),0.0
41,PhD,Married,157243.0,1,20,2,1582,1,2,1,15,0,22,0,243.0,6.5675675675675675,43.45945945945946,0,(0/6),0.0
48,Graduation,In-Relationship,43482.0,3,18,1,32,6,3,28,3,2,0,4,351.0,39.0,9.777777777777779,0,(0/6),0.0
61,Graduation,Divorced,62551.0,0,125,16,98,134,21,27,1,6,7,4,346.0,19.22222222222222,23.38888888888889,1,(1/6),16.666666666666664
55,Graduation,Divorced,52332.0,0,212,5,33,7,0,2,1,3,2,6,428.0,35.666666666666664,21.583333333333332,1,(1/6),16.666666666666664
26,Graduation,Single,66951.0,0,277,162,305,173,76,124,1,3,4,7,362.0,24.133333333333333,74.46666666666667,0,(0/6),0.0
57,Graduation,In-Relationship,26091.0,2,15,10,19,8,17,20,3,2,1,3,247.0,27.444444444444443,9.88888888888889,0,(0/6),0.0
49,Graduation,In-Relationship,33456.0,2,7,3,10,8,1,7,2,1,0,3,192.0,32.0,6.0,0,(0/6),0.0
32,Graduation,Married,28718.0,1,12,4,6,11,8,16,2,2,0,3,474.0,67.71428571428571,8.142857142857142,0,(0/6),0.0
44,Graduation,Married,50447.0,2,85,7,24,2,3,27,1,3,1,3,192.0,24.0,18.5,0,(0/6),0.0
55,PhD,In-Relationship,53537.0,2,81,0,6,0,0,6,2,2,1,3,273.0,34.125,11.625,0,(0/6),0.0
47,Graduation,Single,52074.0,1,59,0,12,0,0,48,1,2,2,2,209.0,29.857142857142858,17.0,1,(1/6),16.666666666666664
39,PhD,Married,80427.0,1,1149,71,449,69,71,26,1,11,8,8,778.0,27.785714285714285,65.53571428571429,0,(0/6),0.0
66,PhD,Married,83837.0,0,847,66,119,86,89,111,1,9,10,5,683.0,27.32,52.72,1,(3/6),50.0
44,PhD,Married,38853.0,2,29,0,14,0,0,2,2,2,0,3,160.0,22.857142857142858,6.428571428571429,0,(0/6),0.0
55,Graduation,In-Relationship,38285.0,3,2,0,5,2,0,1,1,0,0,3,128.0,32.0,2.5,0,(0/6),0.0
63,2n Cycle,Married,78497.0,0,207,26,447,75,0,223,1,5,7,12,333.0,13.32,39.12,1,(1/6),16.666666666666664
38,PhD,Married,51650.0,1,152,3,22,2,5,7,1,4,1,4,172.0,17.2,19.1,0,(0/6),0.0
26,2n Cycle,Married,16248.0,1,12,11,10,3,12,9,3,2,1,3,173.0,19.22222222222222,6.333333333333333,0,(0/6),0.0
68,Master,Married,66835.0,0,620,26,195,34,17,141,1,6,4,13,397.0,16.541666666666668,43.041666666666664,0,(0/6),0.0
30,Master,Married,30477.0,1,47,1,6,0,0,12,1,1,1,3,281.0,46.833333333333336,11.0,0,(0/6),0.0
53,Basic,Married,28249.0,0,1,9,7,2,14,10,1,2,0,3,137.0,22.833333333333332,7.166666666666667,0,(0/6),0.0
31,Graduation,Married,25271.0,1,10,1,18,10,4,7,1,1,1,2,694.0,138.8,10.0,0,(0/6),0.0
44,PhD,Single,32303.0,1,35,0,2,0,0,2,2,1,0,4,236.0,33.714285714285715,5.571428571428571,0,(0/6),0.0
48,Graduation,Married,61286.0,1,356,0,107,19,9,117,2,7,1,8,454.0,25.22222222222222,33.77777777777778,0,(0/6),0.0
38,Graduation,Married,74068.0,0,783,30,537,140,76,15,1,4,10,9,590.0,24.583333333333332,65.875,0,(0/6),0.0
50,PhD,Married,45759.0,2,42,1,18,3,0,4,2,2,0,3,614.0,87.71428571428571,9.714285714285714,0,(0/6),0.0
36,Basic,In-Relationship,24882.0,1,1,4,10,29,0,36,1,1,1,2,781.0,156.2,16.0,1,(1/6),16.666666666666664
25,PhD,In-Relationship,66973.0,0,466,22,432,147,113,102,1,8,7,12,531.0,18.964285714285715,45.785714285714285,0,(0/6),0.0
26,Graduation,Married,38872.0,1,23,3,21,3,19,22,2,3,0,3,619.0,77.375,11.375,0,(0/6),0.0
41,Graduation,Married,51148.0,2,235,6,45,8,9,12,4,5,1,6,305.0,19.0625,19.6875,0,(0/6),0.0
37,Graduation,Married,31353.0,2,10,0,10,3,1,7,2,1,1,2,170.0,28.333333333333332,5.166666666666667,0,(0/6),0.0
34,Master,Married,69661.0,0,656,16,106,32,16,8,1,7,3,12,406.0,17.652173913043477,36.26086956521739,0,(0/6),0.0
60,Graduation,Married,80067.0,0,519,17,813,27,173,51,1,4,6,6,651.0,38.294117647058826,94.11764705882354,1,(1/6),16.666666666666664
60,Graduation,Married,86718.0,0,344,189,482,50,33,172,1,5,6,5,213.0,12.529411764705882,74.70588235294117,0,(0/6),0.0
41,PhD,Single,46854.0,2,96,1,79,7,1,79,6,5,1,3,123.0,8.2,17.533333333333335,1,(2/6),33.33333333333333
62,Graduation,Divorced,69142.0,1,448,4,34,6,4,39,3,8,1,7,325.0,17.105263157894736,28.157894736842106,1,(1/6),16.666666666666664
46,Graduation,Single,75922.0,0,265,138,553,224,23,92,1,4,4,9,381.0,21.166666666666668,71.94444444444444,0,(0/6),0.0
36,Graduation,Divorced,63693.0,1,587,43,337,42,87,54,3,11,6,9,727.0,25.06896551724138,39.6551724137931,0,(0/6),0.0
37,PhD,In-Relationship,102160.0,0,763,29,138,76,176,58,0,7,9,10,470.0,18.076923076923077,47.69230769230769,1,(4/6),66.66666666666666
49,PhD,Single,40637.0,2,22,0,13,0,0,3,2,1,0,3,719.0,119.83333333333333,6.333333333333333,0,(0/6),0.0
30,Master,Single,18890.0,0,6,4,1,7,2,15,1,0,1,2,326.0,81.5,8.75,1,(2/6),33.33333333333333
